Landkreis;Landkreis ID;Lat;Lon;
Schmalkalden-Meiningen;16066;50.6307076864;10.4050434075;
Wartburgkreis;16063;50.8858017017;10.2107039491;
Weimar;16055;50.9783471684;11.3178722759;
Böblingen;08115;48.6782256288;8.9427773012;
Konstanz;08335;47.7932127909;8.9157630123;
Neckar-Odenwald-Kreis;08225;49.4666097739;9.28011000163;
Deggendorf;09271;48.7787021164;13.0007258015;
Kitzingen;09675;49.7532253896;10.2560624461;
Main-Spessart;09677;49.9935822339;9.66268166277;
Nürnberger Land;09574;49.4919039379;11.3694064626;
Rottal-Inn;09277;48.4245198693;12.8673504326;
Straubing-Bogen;09278;48.89970504;12.5824039909;
Oder-Spree;12067;52.244008511;14.2190594331;
Friesland;03455;53.510362974;7.98324746163;
Heidekreis;03358;52.9283300914;9.76941135878;
Verden;03361;52.973235647;9.17546449952;
Dortmund;05913;51.5160775711;7.47490090518;
Hamm;05915;51.6651743978;7.82358619294;
Münster;05515;51.954316786;7.62364679497;
Mettmann;05158;51.2571043543;6.96906518309;
Warendorf;05570;51.8702227935;7.95829493253;
Bad Dürkheim;07332;49.4530205976;8.11030493729;
Leipzig;14713;51.3422385995;12.3747717597;
Eichsfeld;16061;51.3836491981;10.2534853921;
Saale-Holzland-Kreis;16074;50.904172137;11.7315307817;
Saale-Orla-Kreis;16075;50.5808480206;11.7105737336;
Eisenach;16056;50.9896760625;10.3001023192;
Stuttgart;08111;48.7745339639;9.17206798796;
Bad Tölz-Wolfratshausen;09173;47.7274771535;11.4831153973;
Bamberg;09461;49.8872221328;10.8989362521;
Fürstenfeldbruck;09179;48.1877932949;11.2010776242;
Oberallgäu;09780;47.572707564;10.2586229074;
Würzburg;09679;49.737626672;9.92736341488;
Havelland;12063;52.6208208123;12.6283469145;
Kassel;06611;51.3114548137;9.46020305009;
Harburg;03353;53.3157734164;9.96273884793;
Lüneburg;03355;53.232575345;10.5732569229;
Osterode am Harz;03156;51.6779646607;10.371446621;
Duisburg;05112;51.439615769;6.73469184999;
Lippe;05766;51.9814226536;8.95083727251;
Oberbergischer Kreis;05374;51.0127091971;7.51662881723;
Olpe;05966;51.0861595881;7.97647726624;
Mainz;07315;49.9741865223;8.24149708463;
Dresden;14612;51.0664442924;13.7834490742;
Nordhausen;16062;51.5022779756;10.7309067397;
Weimarer Land;16071;50.9715719951;11.3735532667;
Enzkreis;08236;48.9144669267;8.73708120338;
Karlsruhe;08212;49.0113339856;8.41266976981;
Ostalbkreis;08136;48.877525969;10.0901573582;
Aschaffenburg;09671;50.0080931044;9.23803745665;
Kaufbeuren;09762;47.8799285987;10.6160967463;
Landsberg am Lech;09181;48.0244353759;10.9487346774;
Mühldorf am Inn;09183;48.2393145242;12.3818280217;
Cottbus;12052;51.7726930018;14.3662188537;
Hersfeld-Rotenburg;06632;50.90618961;9.7529324059;
Wetteraukreis;06440;50.3547764783;8.90765705912;
Hagen;05914;51.348045073;7.49755553757;
Mülheim an der Ruhr;05117;51.4137814936;6.878461621;
Trier-Saarburg;07235;49.6964711338;6.69519559648;
Saarpfalz-Kreis;10045;49.2486993859;7.24222124863;
Altmarkkreis Salzwedel;15081;52.6800481605;11.2270452746;
Anhalt-Bitterfeld;15082;51.7954450255;12.1432020671;
Börde;15083;52.2207122989;11.3478384337;
Mittelsachsen;14522;50.9558166403;13.1375068135;
Erfurt;16051;50.9832526908;11.0202248069;
Bodensee;;47.6320964263;9.4070162375;
Main-Tauber-Kreis;08128;49.5607007055;9.72508840096;
Schweinfurt;09678;50.016881784;10.2599503138;
Berlin;11000;52.5015315807;13.4018502444;
Spree-Neiße;12071;51.7585932354;14.4331285714;
Emsland;03454;52.7382970162;7.40268865164;
Peine;03157;52.3041913284;10.2552878088;
Soest;05974;51.5644104976;8.21743743758;
Wesel;05170;51.6270425398;6.61836262868;
Kyffhäuserkreis;16065;51.3247630758;10.9848331992;
Eichstätt;09176;48.8980875603;11.3703873291;
München;09162;48.1532131611;11.5472441841;
Ostallgäu;09777;47.769959059;10.6397316342;
Delmenhorst;03401;53.0494043992;8.64568293102;
Hameln-Pyrmont;03252;52.0951381895;9.38989545155;
Coesfeld;05558;51.8668510417;7.36601223345;
Altenkirchen (Westerwald);07132;50.750747657;7.74412525976;
Mainz-Bingen;07339;49.9220138826;8.07964875059;
Dessau-Roßlau;15001;51.8537380889;12.2310559599;
Görlitz;14626;51.2256177492;14.750796811;
Hohenlohekreis;08126;49.2715461389;9.61413578119;
Tuttlingen;08327;48.01120044;8.7941361763;
Freising;09178;48.4473569802;11.7406716932;
Garmisch-Partenkirchen;09180;47.5563489806;11.1296286125;
Lichtenfels;09478;50.1093305037;11.1169215721;
Miesbach;09182;47.7416453347;11.8089897365;
Neustadt an der Waldnaab;09374;49.6865828841;12.0982574415;
Kassel;06633;51.4012961379;9.4070389164;
Odenwaldkreis;06437;49.6715861652;8.97952523934;
Wiesbaden;06414;50.0791566662;8.26036646911;
Vorpommern-Rügen;13073;54.2842029523;12.9915254157;
Holzminden;03255;51.8806325752;9.55140269027;
Bonn;05314;50.7057346173;7.10983940994;
Paderborn;05774;51.6641754561;8.7196350334;
Ahrweiler;07131;50.4675853221;7.04497643896;
Donnersbergkreis;07333;49.631983052;7.9150113274;
Meißen;14627;51.239397748;13.4829006825;
Plön;01057;54.2433885939;10.3636951573;
Stormarn;01062;53.7208005726;10.3316398811;
Altenburger Land;16077;50.9564246614;12.3991313423;
Jena;16053;50.9242638034;11.5870112529;
Biberach;08426;48.1075826288;9.77425436647;
Ludwigsburg;08118;48.940602979;9.12434425665;
Zollernalbkreis;08417;48.2672389069;8.93742839835;
Kelheim;09273;48.8249414287;11.857554442;
Lahn-Dill-Kreis;06532;50.6482687297;8.36532824;
Schwalm-Eder-Kreis;06634;51.0237758195;9.3736523386;
Aurich;03452;53.4964307678;7.36808958075;
Lüchow-Dannenberg;03354;53.0198717176;11.1229198942;
Remscheid;05120;51.1826933037;7.22411565185;
Solingen;05122;51.1624551579;7.06606973298;
Unna;05978;51.5785745363;7.63644458507;
Mayen-Koblenz;07137;50.3316078654;7.33216943214;
Rhein-Pfalz-Kreis;07338;49.416649982;8.36068108599;
Trier;07211;49.762938832;6.65505102152;
Saalekreis;15088;51.4256710773;11.865474038;
Wittenberg;15091;51.8201400674;12.7015882396;
Greiz;16076;50.7484595538;12.0740705739;
